numero AMM;nom produit;Libellé court;Libellé long;
8800006;DIMATE BF 400;C4;Toxicité aiguë par voie orale - Catégorie 4;
8800006;DIMATE BF 400;C4;Toxicité aiguë par inhalation - Catégorie 4;
8800006;DIMATE BF 400;Sens. Resp. 1;Historique - Sensibilisation cutanée, catégorie 1;
8800006;DIMATE BF 400;C1;Sensibilisants cutanés - Catégorie 1;
8800006;DIMATE BF 400;Asp, cat 1;Danger par aspiration, catégorie 1;
8800006;DIMATE BF 400;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
8800006;DIMATE BF 400;C3;Liquides inflammables - Catégorie 3;
2190207;KALTOR;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2190207;KALTOR;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2190207;KALTOR;AT;Mention d'avertissement : Attention;
2171049;MENNO FLORADES;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2171049;MENNO FLORADES;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2171049;MENNO FLORADES;C2;Liquides inflammables - Catégorie 2;
2171049;MENNO FLORADES;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
2171049;MENNO FLORADES;DA;Mention d'avertissement : Danger;
8900156;NEMASOL 510;C4;Toxicité aiguë par voie orale - Catégorie 4;
8900156;NEMASOL 510;C4;Toxicité aiguë par inhalation - Catégorie 4;
8900156;NEMASOL 510;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
8900156;NEMASOL 510;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
8900156;NEMASOL 510;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
8900156;NEMASOL 510;C1C;Corrosion cutanée/irritation cutanée - Catégories 1C;
8900156;NEMASOL 510;AT;Mention d'avertissement : Attention;
7700385;FUMIGAM;C4;Toxicité aiguë par voie orale - Catégorie 4;
7700385;FUMIGAM;C4;Toxicité aiguë par inhalation - Catégorie 4;
7700385;FUMIGAM;C1;Sensibilisants cutanés - Catégorie 1;
7700385;FUMIGAM;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
7700385;FUMIGAM;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
7700385;FUMIGAM;C1B;Corrosion cutanée/irritation cutanée - Catégories 1B;
7700385;FUMIGAM;DA;Mention d'avertissement : Danger;
