numero AMM;nom produit;Libellé court phrase de risque ;Libellé long phrase de risque;
8800006;DIMATE BF 400;H226;Liquides et vapeurs inflammables;
8800006;DIMATE BF 400;H226;Liquides et vapeurs inflammables;
8800006;DIMATE BF 400;H302;Nocif en cas d'ingestion;
8800006;DIMATE BF 400;H302;Nocif en cas d'ingestion;
8800006;DIMATE BF 400;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
8800006;DIMATE BF 400;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
8800006;DIMATE BF 400;H317;Peut provoquer une allergie cutanée;
8800006;DIMATE BF 400;H317;Peut provoquer une allergie cutanée;
8800006;DIMATE BF 400;H332;Nocif par inhalation;
8800006;DIMATE BF 400;H332;Nocif par inhalation;
8800006;DIMATE BF 400;H334;Peut provoquer des symptômes allergiques ou d'asthme ou des difficultés respiratoires par inhalation;
8800006;DIMATE BF 400;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8800006;DIMATE BF 400;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2190207;KALTOR;H400;Très toxique pour les organismes aquatiques;
2190207;KALTOR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2171049;MENNO FLORADES;H225;Liquides et vapeurs très inflammables;
2171049;MENNO FLORADES;H318;Provoque des lésions oculaires graves;
2171049;MENNO FLORADES;H336;Peut provoquer somnolence ou des vertiges;
2171049;MENNO FLORADES;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
8900156;NEMASOL 510;H302;Nocif en cas d'ingestion;
8900156;NEMASOL 510;H314;Provoque des brûlures de la peau et des lésions oculaires graves;
8900156;NEMASOL 510;H317;Peut provoquer une allergie cutanée;
8900156;NEMASOL 510;H332;Nocif par inhalation;
8900156;NEMASOL 510;H400;Très toxique pour les organismes aquatiques;
8900156;NEMASOL 510;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
7700385;FUMIGAM;H302;Nocif en cas d'ingestion;
7700385;FUMIGAM;H314;Provoque des brûlures de la peau et des lésions oculaires graves;
7700385;FUMIGAM;H317;Peut provoquer une allergie cutanée;
7700385;FUMIGAM;H332;Nocif par inhalation;
7700385;FUMIGAM;H400;Très toxique pour les organismes aquatiques;
7700385;FUMIGAM;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170782;DIPHAR;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8800603;COLZAMID;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
8800603;COLZAMID;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique;
2070133;DEVRINOL F;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2070133;DEVRINOL F;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique;
9000834;REBELL T;H317;Peut provoquer une allergie cutanée;
2170337;BELPROMEC GOLD;H302;Nocif en cas d'ingestion;
2170337;BELPROMEC GOLD;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2170337;BELPROMEC GOLD;H400;Très toxique pour les organismes aquatiques;
2170337;BELPROMEC GOLD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900133;MILORD;H302;Nocif en cas d'ingestion;
9900133;MILORD;H312;Nocif par contact cutané;
9900133;MILORD;H317;Peut provoquer une allergie cutanée;
9900133;MILORD;H318;Provoque des lésions oculaires graves;
9900133;MILORD;H332;Nocif par inhalation;
9900133;MILORD;H361d;Susceptible de nuire au foetus;
9900133;MILORD;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
9900133;MILORD;H400;Très toxique pour les organismes aquatiques;
9900133;MILORD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8100291;BUTISAN S;H302;Nocif en cas d'ingestion;
8100291;BUTISAN S;H351;Susceptible de provoquer le cancer;
8100291;BUTISAN S;H400;Très toxique pour les organismes aquatiques;
8100291;BUTISAN S;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8100291;BUTISAN S;EUH208;Contient du métazachlore, du 1,2-benzisothiazol-3(2H)-one et du 2-methylisothiazol-3(2H)-one. Peut produire une réaction allergique.;
2000003;SULTAN;H302;Nocif en cas d'ingestion;
2000003;SULTAN;H317;Peut provoquer une allergie cutanée;
2000003;SULTAN;H351;Susceptible de provoquer le cancer;
2000003;SULTAN;H400;Très toxique pour les organismes aquatiques;
2000003;SULTAN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500645;SICO;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9500645;SICO;H315;Provoque une irritation cutanée;
9500645;SICO;H317;Peut provoquer une allergie cutanée;
9500645;SICO;H319;Provoque une sévère irritation des yeux;
9500645;SICO;H400;Très toxique pour les organismes aquatiques;
9500645;SICO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180347;APPLAUD STAR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500484;DESHERBANT GAZON 50;H319;Provoque une sévère irritation des yeux;
9500484;DESHERBANT GAZON 50;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8700542;SYGAN S;H317;Peut provoquer une allergie cutanée;
8700542;SYGAN S;H319;Provoque une sévère irritation des yeux;
8700542;SYGAN S;H332;Nocif par inhalation;
8700542;SYGAN S;H351;Susceptible de provoquer le cancer;
8700542;SYGAN S;H400;Très toxique pour les organismes aquatiques;
