"","SA_CodeCAS","SA_Libelle","SA_PNEC","source","mise_a_jour","SA_Statut"
"1","71751-41-2","abamectine","0,0163","AGRITOX",2021-11-09,NA
"2","57960-19-7","acequinocyl","1,5","AGRITOX",2021-11-09,NA
"3","135410-20-7","acetamiprid","0,2","AGRITOX",2021-11-09,NA
"4","135158-54-2","Acibenzolar-S-methyl","2,6","AGRITOX",2021-11-09,NA
"5","64-19-7","acide acetique","0,189","AGRITOX",2021-11-09,NA
"6","65-85-0","acide benzoique","1200","AGRITOX",2021-11-09,NA
"7","77-06-05","acide gibb�rellique",NA,"AGRITOX",2021-11-09,NA
"8","67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1","acide gras en C7-C18","50","AGRITOX",2021-11-09,NA
"9","133-32-4","acide indolyl butyrique","1,12","AGRITOX",2021-11-09,NA
"10","112-05-0","acide pelargonique","41","AGRITOX",2021-11-09,NA
"11","86-87-3","acide 1-naphthylacetique","560","AGRITOX",2021-11-09,NA
"12","74070-46-5","aclonifen","0,5","AGRITOX",2021-11-09,NA
"13","101007-06-1","acrinathrine","0,0087","AGRITOX",2021-11-09,NA
"14","101007-06-1","acrinathrine","0,00022","AGRITOX",2021-11-09,NA
"15","67375-30-8","Alpha-cypermethrine",NA,"AGRITOX",2021-11-09,NA
"16","865318-97-4","am�toctradine","4,4","AGRITOX",2021-11-09,NA
"17","120923-37-7","amidosulfuron","0,92","AGRITOX",2021-11-09,NA
"18","150114-71-9","aminopyralide","10","AGRITOX",2021-11-09,NA
"19","348635-87-0","amisulbrom","1,68","AGRITOX",2021-11-09,NA
"20","11141-17-6","azadirachtin","0,37","AGRITOX",2021-11-09,NA
"21","120162-55-2","azimsulfuron",NA,"AGRITOX",2021-11-09,NA
"22","131860-33-8","azoxystrobine","3,3","AGRITOX",2021-11-09,NA
"23","113614-08-7","beflubutamid","0,455","AGRITOX",2021-11-09,NA
"24","71626-11-4","benalaxyl","3","AGRITOX",2021-11-09,NA
"25","98243-83-5","benalaxyl-M","20","AGRITOX",2021-11-09,NA
"26","1861-40-1","benfluraline","0,43","AGRITOX",2021-11-09,NA
"27","98730-04-2","benoxacor",NA,"AGRITOX",2021-11-09,NA
"28","83055-99-6","bensulfuron-methyle","0,1275","AGRITOX",2021-11-09,NA
"29","83055-99-6","bensulfuron-methyle","0,38","AGRITOX",2021-11-09,NA
"30","25057-89-0","bentazone","1200","AGRITOX",2021-11-09,NA
"31","177406-68-7","benthiavalicarb-isopropyl","100","AGRITOX",2021-11-09,NA
"32","1072957-71-1","benzovindiflupyr","0,095","AGRITOX",2021-11-09,NA
"33","68359-37-5","betacyflutrine","0,01","AGRITOX",2021-11-09,NA
"34","68359-37-5","betacyflutrine","0,125","AGRITOX",2021-11-09,NA
"35","149877-41-8","bifenazate","4,2","AGRITOX",2021-11-09,NA
"36","42576-02-3","bifenox","0,91","AGRITOX",2021-11-09,NA
"37","581809-46-3","bixafen","0,46","AGRITOX",2021-11-09,NA
"38","188425-85-6","boscalid",NA,"AGRITOX",2021-11-09,NA
"39","28772-56-7","bromadiolone",NA,"AGRITOX",2021-11-09,NA
"40","3861-41-4","bromoxynil butyrate","0,322","AGRITOX",2021-11-09,NA
"41","56634-95-8","bromoxynil heptanoate","0,29","AGRITOX",2021-11-09,NA
"42","1689-99-2","bromoxynil octanoate","0,41","AGRITOX",2021-11-09,NA
"43","1689-84-5","bromoxynil phenol","3,3","AGRITOX",2021-11-09,NA
"44","116255-48-2","bromuconazole","6,5","AGRITOX",2021-11-09,NA
"45","41483-43-6","bupirimate","10","AGRITOX",2021-11-09,NA
"46","133-06-2","captane","7,45","AGRITOX",2021-11-09,NA
"47","16118-49-3","carbetamide","100","AGRITOX",2021-11-09,NA
"48","5234-68-4","carboxine","23","AGRITOX",2021-11-09,NA
"49","128639-02-1","carfentrazone ethyle","0,57","AGRITOX",2021-11-09,NA
"50","500008-45-7","chlorantraniliprole","0,58","AGRITOX",2021-11-09,NA
"51","500008-45-7","chlorantraniliprole","0,5","AGRITOX",2021-11-09,NA
"52","500008-45-7","chlorantraniliprole","2,5","AGRITOX",2021-11-09,NA
"53","500008-45-7","chlorantraniliprole","0,594","AGRITOX",2021-11-09,NA
"54","1698-60-8","chloridazone","60","AGRITOX",2021-11-09,NA
"55","999-81-5","chlormequat chloride","240","AGRITOX",2021-11-09,NA
"56","2921-88-2","chlorpyriphos-ethyl","0,1","AGRITOX",2021-11-09,NA
"57","5598-13-0","chlorpyriphos-methyl","0,1","AGRITOX",2021-11-09,NA
"58","64902-72-3","chlorsulfuron",NA,"AGRITOX",2021-11-09,NA
"59","15545-48-9","chlortoluron","10","AGRITOX",2021-11-09,NA
"60","15545-48-9","chlortoluron","2,4","AGRITOX",2021-11-09,NA
"61","15545-48-9","chlortoluron","10","AGRITOX",2021-11-09,NA
"62","143807-66-3","chromaf�nozide",NA,"AGRITOX",2021-11-09,NA
"63","99129-21-2","clethodim","190","AGRITOX",2021-11-09,NA
"64","105512-06-9","clodinafop-propargyl","2,1","AGRITOX",2021-11-09,NA
"65","74115-24-5","clofentezine",NA,"AGRITOX",2021-11-09,NA
"66","81777-89-1","clomazone","18,5","AGRITOX",2021-11-09,NA
"67","1702-17-6","clopyralid",NA,"AGRITOX",2021-11-09,NA
"68","99607-70-2","cloquintocet-mexyl","25","AGRITOX",2021-11-09,NA
"69","210880-92-5","clothianidine","0,5","AGRITOX",2021-11-09,NA
"70","8011-63-0","cuivre de la bouillie bordelaise",NA,"AGRITOX",2021-11-09,NA
"71","20427-59-2","cuivre de l'hydroxyde de cuivre",NA,"AGRITOX",2021-11-09,NA
"72","1332-40-7 ou 1332-65-6","cuivre de l'oxychlorure de cuivre","4","AGRITOX",2021-11-09,NA
"73","1317-39-1","cuivre de l'oxyde cuivreux",NA,"AGRITOX",2021-11-09,NA
"74","12527-76-3 ou 1333-22-8","cuivre du sulfate tribasique de cuivre",NA,"AGRITOX",2021-11-09,NA
"75","736994-63-1","cyantraniliprole","1","AGRITOX",2021-11-09,NA
"76","120116-88-3","cyazofamid","1,07","AGRITOX",2021-11-09,NA
"77","101205-02-1","cycloxidime","7,9","AGRITOX",2021-11-09,NA
"78","400882-07-7","cyflumetofene","0,63","AGRITOX",2021-11-09,NA
"79","122008-85-9","cyhalofop butyl","6,37","AGRITOX",2021-11-09,NA
"80","57966-95-7","cymoxanil","4,4","AGRITOX",2021-11-09,NA
"81","52315-07-8","cypermethrine","0,01","AGRITOX",2021-11-09,NA
"82","52315-07-8","cypermethrine","0,008","AGRITOX",2021-11-09,NA
"83","52315-07-8","cypermethrine","0,00385","AGRITOX",2021-11-09,NA
"84","52315-07-8","cypermethrine","0,008","AGRITOX",2021-11-09,NA
"85","52315-07-8","cypermethrine","0,00385","AGRITOX",2021-11-09,NA
"86","94361-06-5","cyproconazole","2,3","AGRITOX",2021-11-09,NA
"87","121552-61-2","cyprodinil","4,86","AGRITOX",2021-11-09,NA
"88","121552-61-2","cyprodinil","1,15","AGRITOX",2021-11-09,NA
"89","121552-61-2","cyprodinil","1,87","AGRITOX",2021-11-09,NA
"90","221667-31-8","cyprosulfamide","467","AGRITOX",2021-11-09,NA
"91","66215-27-8","cyromazine","2,5","AGRITOX",2021-11-09,NA
"92","1596-84-5","daminozide","755","AGRITOX",2021-11-09,NA
"93","533-74-4","dazomet","3","AGRITOX",2021-11-09,NA
"94","52918-63-5","deltamethrine","0,0032","AGRITOX",2021-11-09,NA
"95","52918-63-5","deltamethrine","0,0105","AGRITOX",2021-11-09,NA
"96","1918-00-9","dicamba","45","AGRITOX",2021-11-09,NA
"97","15165-67-0","dichlorprop-P","100","AGRITOX",2021-11-09,NA
"98","257-141-8","diclofop methyl",NA,"AGRITOX",2021-11-09,NA
"99","119446-68-3","difenoconazole","0,36","AGRITOX",2021-11-09,NA
"100","35367-38-5","diflubenzuron","0,004","AGRITOX",2021-11-09,NA
"101","83164-33-4","diflufenican","0,167","AGRITOX",2021-11-09,NA
"102","83164-33-4","diflufenican","0,25","AGRITOX",2021-11-09,NA
"103","83164-33-4","diflufenican","0,051","AGRITOX",2021-11-09,NA
"104","50563-36-5","dimethachlore","6,58","AGRITOX",2021-11-09,NA
"105","163515-14-8","Dimethenamid-P","4,57","AGRITOX",2021-11-09,NA
"106","110488-70-5","dimethomorphe","5,6","AGRITOX",2021-11-09,NA
"107","149961-52-4","dimoxystrobine","1,67","AGRITOX",2021-11-09,NA
"108","13708-85-5 ou (130184-07-5 ou 16926-95-7)","disodium phosphanate","612,6","AGRITOX",2021-11-09,NA
"109","3347-22-6","dithianon","1,3","AGRITOX",2021-11-09,NA
"110","2439-10-3�","doguadine","8,2","AGRITOX",2021-11-09,NA
"111","155569-91-8","emamectine benzoate","0,033","AGRITOX",2021-11-09,NA
"112","66230-04-4","esfenvalerate","0,08","AGRITOX",2021-11-09,NA
"113","16672-87-0","ethephon","160","AGRITOX",2021-11-09,NA
"114","26225-79-6","ethofumesate","32","AGRITOX",2021-11-09,NA
"115","80844-07-1","etofenprox","0,0054","AGRITOX",2021-11-09,NA
"116","153233-91-1","etoxazole",NA,"AGRITOX",2021-11-09,NA
"117","8000-78-0 ou 8008-99-9","extrait d'ail","93","AGRITOX",2021-11-09,NA
"118","131807-57-3","famoxadone","0,11","AGRITOX",2021-11-09,NA
"119","120928-09-8","fenazaquin","0,15","AGRITOX",2021-11-09,NA
"120","114369-43-6","fenbuconazole","2,3","AGRITOX",2021-11-09,NA
"121","126833-17-8","fenhexamid","10,1","AGRITOX",2021-11-09,NA
"122","71283-80-2","fenoxaprop-P-ethyl","1,9","AGRITOX",2021-11-09,NA
"123","79127-80-3","fenoxycarbe","3,3","AGRITOX",2021-11-09,NA
"124","517875-34-2","fenpicoxamide",NA,"AGRITOX",2021-11-09,NA
"125","67306-00-7","fenpropidine","0,33","AGRITOX",2021-11-09,NA
"126","67564-91-4","fenpropimorphe","0,39","AGRITOX",2021-11-09,NA
"127","473798-59-3","fenpyrazamine","0,0098","AGRITOX",2021-11-09,NA
"128","134098-61-6","fenpyroximate","0,061","AGRITOX",2021-11-09,NA
"129","N/A","fenugrec (extrait de )","1000","AGRITOX",2021-11-09,NA
"130","104040-78-0","flazasulfuron","0,07","AGRITOX",2021-11-09,NA
"131","158062-67-0","flonicamid","310","AGRITOX",2021-11-09,NA
"132","145701-23-1","florasulam","0,133","AGRITOX",2021-11-09,NA
"133","145701-23-1","florasulam","0,118","AGRITOX",2021-11-09,NA
"134","79241-46-6","fluazifop P butyl","5,3","AGRITOX",2021-11-09,NA
"135","79622-59-6","fluazinam","0,29","AGRITOX",2021-11-09,NA
"136","131341-86-1","fludioxonyl","3,28","AGRITOX",2021-11-09,NA
"137","142459-58-3","flufenacet","2,4","AGRITOX",2021-11-09,NA
"138","103361-09-7","flumioxazine","0,035","AGRITOX",2021-11-09,NA
"139","239110-15-7 ","fluopicolide",NA,"AGRITOX",2021-11-09,NA
"140","658066-35-4","fluopyram","13,5","AGRITOX",2021-11-09,NA
"141","2699-79-8","fluorure de sulfuryle","6,2","AGRITOX",2021-11-09,NA
"142","361377-29-9","fluoxastrobine","0,061","AGRITOX",2021-11-09,NA
"143","136426-54-5","fluquinconazole",NA,"AGRITOX",2021-11-09,NA
"144","61213-25-0","flurochloridone",NA,"AGRITOX",2021-11-09,NA
"145","69377-81-7","fluroxypyr","27,6","AGRITOX",2021-11-09,NA
"146","81406-37-3","fluroxypyr : methylheptyl ester","1,83","AGRITOX",2021-11-09,NA
"147","66332-96-5","flutolanil",NA,"AGRITOX",2021-11-09,NA
"148","76674-21-0","flutriafol",NA,"AGRITOX",2021-11-09,NA
"149","907204-31-3","fluxapyroxad","3,59","AGRITOX",2021-11-09,NA
"150","133-07-3","folpel","3,9","AGRITOX",2021-11-09,NA
"151","173159-57-4","foramsulfuron","0,101","AGRITOX",2021-11-09,NA
"152","68157-60-8","forchlorfenuron","80","AGRITOX",2021-11-09,NA
"153","23422-53-9","formetanate",NA,"AGRITOX",2021-11-09,NA
"154","39148-24-8","fosetyl-al",NA,"AGRITOX",2021-11-09,NA
"155","98886-44-3","fosthiazate",NA,"AGRITOX",2021-11-09,NA
"156","76703-62-3","gamma cyhalothrine","0,91","AGRITOX",2021-11-09,NA
"157","8030-53-3 (m�lange)","gibberelline A4 A7","960","AGRITOX",2021-11-09,NA
"158","1071-83-6","glyphosate","100","AGRITOX",2021-11-09,NA
"159","943831-98-9","halauxifen-methyl","0,0393","AGRITOX",2021-11-09,NA
"160","100784-20-1","halosulfuron-m�thyl","0,0491","AGRITOX",2021-11-09,NA
"161","72619-32-0","haloxyfop-R : ester methylique",NA,"AGRITOX",2021-11-09,NA
"162","870721-81-6","heptamaloxyloglucan","1500","AGRITOX",2021-11-09,NA
"163","78587-05-0","hexythiazox","0,61","AGRITOX",2021-11-09,NA
"164","8002-13-9","huile de colza","87,9","AGRITOX",2021-11-09,NA
"165","8000-34-8","huile de girofle","19","AGRITOX",2021-11-09,NA
"166","8008-79-5","huile de menthe verte",NA,"AGRITOX",2021-11-09,NA
"167","64742-46-7","huile de paraffine (CAS 64742-46-7)","1000","AGRITOX",2021-11-09,NA
"168","72623-86-0","huile de paraffine (CAS 72623-86-0)","1000","AGRITOX",2021-11-09,NA
"169","97862-82-3","huile de paraffine (CAS 97862-82-3",NA,"AGRITOX",2021-11-09,NA
