"Numéro CAS";"Nom SA";"Source";"Date";"Nom";"valeur";"Unite";"Etude(s) pivot(s) 1";"NOAEL de l'étude pivot 1";"Unité NOAEL étude pivot 1";"Etude(s) pivot(s) 2";"Facteur de sécurité";"F.correction (abs. orale lim.)"
"71751-41-2";"abamectine";"UE";25/11/08;"AOEL";"0,0025";"mg/kg/j";"1 an, voie orale, chien";"0,25";"mg/kg/p.c./j";"18 semaines , voie orale, chien";100;"non nécessaire"
"71751-41-2";"abamectine";"UE";01/09/08;"ARFD";"0,005";"mg/kg pc";"Neurotoxicité, voie orale, rat, aigue";"0,5";"mg/kg/p.c./j";"";100;"non nécessaire"
"71751-41-2";"abamectine";"UE";01/09/08;"DJA";"0,0025";"mg/kg/j";"1 an, voie orale, chien";"0,25";"mg/kg p.c./j";"18 semaines , voie orale, chien";100;"non nécessaire"
"57960-19-7";"acequinocyl";"UE";01/09/14;"DJA";"0,023";"mg/kg/j";"2 ans, voie orale, rat";"2,3";"mg/kg p.c./j";"";100;"non nécessaire"
"57960-19-7";"acequinocyl";"UE";01/09/14;"AOEL";"0,014";"mg/kg/j";"1 an, voie orale, chien";"5";"mg/kg p.c./j";"2 générations, voie orale, rat";100;"28%"
"57960-19-7";"acequinocyl";"UE";01/09/14;"ARFD";"0,08";"mg/kg pc";"Autre(s) étude(s)";"8";"mg/kg p.c./j";"étude mécanistique dose unique, voie orale, rat";100;"non nécessaire"
"135410-20-7";"acetamiprid";"UE";01/03/18;"AOEL";"0,025";"mg/kg/j";"Neurotoxicité du développement, rat";"2,5";"mg/kg p.c./j";"";100;"non nécessaire"
"135410-20-7";"acetamiprid";"UE";01/03/18;"DJA";"0,025";"mg/kg/j";"Neurotoxicité du développement, rat";"2,5";"mg/kg p.c./j";"";100;"non nécessaire"
"135410-20-7";"acetamiprid";"UE";01/03/18;"AAOEL";"0,025";"mg/kg pc";"Neurotoxicité du développement, rat";"2,5";"mg/kg/p.c./j";"";100;"non nécessaire"
"135410-20-7";"acetamiprid";"UE";01/03/18;"ARFD";"0,025";"mg/kg pc";"Neurotoxicité du développement, rat";"2,5";"mg/kg p.c./j";"";100;"non nécessaire"
"135158-54-2";"Acibenzolar-S-methyl";"UE";01/04/16;"ARFD";"0,03";"mg/kg pc";"Tératogenèse, voie orale, rat";"10";"mg/kg/p.c./j";"";300;"non nécessaire"
"135158-54-2";"Acibenzolar-S-methyl";"UE";01/04/16;"DJA";"0,03";"mg/kg/j";"Tératogenèse, voie orale, rat";"10";"mg/kg p.c./j";"";300;"non nécessaire"
"135158-54-2";"Acibenzolar-S-methyl";"UE";01/04/16;"AOEL";"0,03";"mg/kg/j";"Tératogenèse, voie orale, rat";"10";"mg/kg p.c./j";"";300;"non nécessaire"
"64-19-7";"acide acetique";"UE";01/09/09;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"64-19-7";"acide acetique";"UE";01/09/09;"AOEC";"1";"mg/m3";"Autre(s) étude(s)";"10";"mg/m3";"étude par inhalation chez le volontaire humain sain";10;"non nécessaire"
"64-19-7";"acide acetique";"UE";01/09/09;"DJA";"non pertinent";"";"";"";"";"";;"non nécessaire"
"65-85-0";"acide benzoique";"UE";01/09/17;"AOEL";"5";"mg/kg/j";"Autre(s) étude(s)";"500";"mg/kg p.c./j";"études à court et à long terme";100;"non nécessaire"
"65-85-0";"acide benzoique";"UE";01/09/17;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"65-85-0";"acide benzoique";"UE";01/09/17;"AAOEL";"non pertinent";"";"";"";"";"";;"non nécessaire"
"65-85-0";"acide benzoique";"UE";01/09/17;"DJA";"5";"mg/kg/j";"Autre(s) étude(s)";"500";"mg/kg p.c./j";"études à court et à long terme";100;"non nécessaire"
"77-06-05";"acide gibbérellique";"UE";01/09/09;"DJA";"0,68";"mg/kg/j";"90 jours, voie orale, rat";"680";"mg/kg/p.c./j";"";1000;"non nécessaire"
"77-06-05";"acide gibbérellique";"UE";01/09/09;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
