"N° CAS";"NOM SA";"CLASSEMENT RÉFÉRENCE";"CLASSEMENT DATE";"CLASSEMENT CATÉGORIE DANGER";"CLASSEMENT CODE H";"CLASSEMENT MENTION DANGER";"FACTEUR M VALEUR";"FACTEUR M ORIGINE";"FACTEUR M DATE"
"71751-41-2";"abamectine";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1";"H372";"Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"71751-41-2";"abamectine";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"71751-41-2";"abamectine";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Toxicité aiguë (par voie orale), catégorie 2";"H300";"Mortel en cas d'ingestion";;"";
"71751-41-2";"abamectine";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Toxicité aiguë (par inhalation), catégorie 1";"H330";"Mortel par inhalation";;"";
"71751-41-2";"abamectine";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10000;"ANSES";25/10/11
"71751-41-2";"abamectine";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10000;"ANSES";25/10/11
"57960-19-7";"acequinocyl";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"57960-19-7";"acequinocyl";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Toxicité spécifique pour certains organes cibles - Exposition unique, catégorie 1";"H370";"Risque avéré d'effets graves pour les organes";;"";
"57960-19-7";"acequinocyl";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"57960-19-7";"acequinocyl";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"ANSES";19/08/14
"57960-19-7";"acequinocyl";"Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008)";10/07/12;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000;"ANSES";19/08/14
"135410-20-7";"acetamiprid";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 3";"H412";"Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"135410-20-7";"acetamiprid";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"135158-54-2";"Acibenzolar-S-methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"135158-54-2";"Acibenzolar-S-methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"ANSES";23/10/14
"135158-54-2";"Acibenzolar-S-methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"135158-54-2";"Acibenzolar-S-methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"135158-54-2";"Acibenzolar-S-methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3";"H335";"Peut irriter les voies respiratoires";;"";
"135158-54-2";"Acibenzolar-S-methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";23/10/14
"64-19-7";"acide acetique";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Liquides inflammables, catégorie 3";"H226";"Liquides et vapeurs inflammables";;"";
"64-19-7";"acide acetique";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Corrosif pour la peau, catégorie 1A";"H314";"Provoque des brûlures de la peau et des lésions oculaires graves";;"";
"65-85-0";"acide benzoique";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"65-85-0";"acide benzoique";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Lésions oculaires graves, catégorie 1";"H318";"Provoque des lésions oculaires graves";;"";
"65-85-0";"acide benzoique";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1";"H372";"Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"77-06-05";"acide gibbérellique";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";01/09/09;"Sans classement";"Sans classement";"Sans classement";;"";
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/02/21;"Corrosif pour la peau, catégorie 1C";"H314";"Provoque des brûlures de la peau et des lésions oculaires graves";;"";
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/02/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 3";"H412";"Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"133-32-4";"acide indolyl butyrique";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";15/12/09;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"133-32-4";"acide indolyl butyrique";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";15/12/09;"Toxicité pour la reproduction, catégorie 2(fd)";"H361fd";"Susceptible de nuire à la fertilité. Susceptible de nuire au foetus";;"";
"112-05-0";"acide pelargonique";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger chronique, catégorie 3";"H412";"Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
