"Numéro CAS";"Nom SA";"Propriété";"Valeur";"Unité";"Température";"PH";"Observation"
"71751-41-2";"abamectine";"Constante de Henry";"<2,7*10-3";"Pa.m3/mol";20;"";""
"71751-41-2";"abamectine";"Log P";"4,4";"";20;"7,2";""
"71751-41-2";"abamectine";"Pression de vapeur";"<3,7x10-6";"Pa";25;"";""
"71751-41-2";"abamectine";"Solubilité dans l'eau";"1,21";"mg/L";25;"7,57";""
"57960-19-7";"acequinocyl";"Constante de Henry";"9.7x10^-2";"Pa.m3/mol";;"";""
"57960-19-7";"acequinocyl";"Log P";">6,2";"";25;"";""
"57960-19-7";"acequinocyl";"pka";"";"";;"";""
"57960-19-7";"acequinocyl";"Pression de vapeur";"1.69x10^-6";"Pa";25;"";""
"57960-19-7";"acequinocyl";"Solubilité dans l'eau";"6.69 x 10^-6";"g/L";25;"";""
"135410-20-7";"acetamiprid";"Constante de Henry";"<5.3*10^-8";"Pa.m3/mol";25;"";""
"135410-20-7";"acetamiprid";"Log P";"0,8";"";25;"";""
"135410-20-7";"acetamiprid";"pka";"0,7";"";25;"";""
"135410-20-7";"acetamiprid";"Pression de vapeur";"<1*10^-6";"Pa";25;"";""
"135410-20-7";"acetamiprid";"Pression de vapeur";"1.73*10^-7";"Pa";50;"";""
"135410-20-7";"acetamiprid";"Solubilité dans l'eau";"4.25";"g/L";25;"";""
"135410-20-7";"acetamiprid";"Solubilité dans l'eau";"3.48";"g/L";25;"5";""
"135410-20-7";"acetamiprid";"Solubilité dans l'eau";"2.95";"g/L";25;"7";""
"135410-20-7";"acetamiprid";"Solubilité dans l'eau";"3.96";"g/L";25;"9";""
"135158-54-2";"Acibenzolar-S-methyl";"Constante de Henry";"1.3 x 10^-2";"Pa.m3/mol";;"";""
"135158-54-2";"Acibenzolar-S-methyl";"Log P";"3,1";"";25;"";""
"135158-54-2";"Acibenzolar-S-methyl";"pka";"";"";;"";""
"135158-54-2";"Acibenzolar-S-methyl";"Pression de vapeur";"4.6 x 10^-4";"Pa";25;"";""
"135158-54-2";"Acibenzolar-S-methyl";"Solubilité dans l'eau";"7.7";"mg/L";25;"";""
"64-19-7";"acide acetique";"Constante de Henry";"9,3 10-2";"Pa.m3/mol";;"";""
"64-19-7";"acide acetique";"Log P";"+0,09";"";;"";""
"64-19-7";"acide acetique";"pka";"+4,75";"";;"";""
"64-19-7";"acide acetique";"Pression de vapeur";"1570";"Pa";20;"";""
"64-19-7";"acide acetique";"Solubilité dans l'eau";"1050";"g/L";;"";""
"65-85-0";"acide benzoique";"Constante de Henry";"6,714x10^-4";"Pa.m3/mol";20;"";""
"65-85-0";"acide benzoique";"Log P";"1,9";"";;"";""
"65-85-0";"acide benzoique";"pka";"4,19";"";;"";""
"65-85-0";"acide benzoique";"Pression de vapeur";"6,78x10^-2";"Pa";25;"";""
"65-85-0";"acide benzoique";"Pression de vapeur";"3,81x10^-2";"Pa";20;"";""
"65-85-0";"acide benzoique";"Pression de vapeur";"9,25x10^-1";"Pa";50;"";""
"65-85-0";"acide benzoique";"Solubilité dans l'eau";"6,93";"g/L";20;"4,34";""
"65-85-0";"acide benzoique";"Solubilité dans l'eau";"5,90";"g/L";20;"4,11";""
"65-85-0";"acide benzoique";"Solubilité dans l'eau";"3,91";"g/L";20;"3,76";""
"77-06-05";"acide gibbérellique";"Constante de Henry";"7,5x10^-7";"Pa.m3/mol";25;"";""
"77-06-05";"acide gibbérellique";"Log P";"+0,72";"";22;"2,2";""
"77-06-05";"acide gibbérellique";"pka";"+4,1";"";;"";""
"77-06-05";"acide gibbérellique";"Pression de vapeur";"1x10^-5";"Pa";25;"";""
"77-06-05";"acide gibbérellique";"Solubilité dans l'eau";">250";"g/L";20;"10";""
"77-06-05";"acide gibbérellique";"Solubilité dans l'eau";">250";"g/L";20;"7";""
"77-06-05";"acide gibbérellique";"Solubilité dans l'eau";"11,7";"g/L";20;"4";""
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"Constante de Henry";"0,33";"Pa.m3/mol";20;"";""
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"Log P";"";"";;"";""
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"pka";"";"";;"";""
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"Pression de vapeur";"0,9";"Pa";20;"";""
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"Pression de vapeur";"1,4";"Pa";25;"";""
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"Pression de vapeur";"10,6";"Pa";50;"";""
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"Solubilité dans l'eau";"202,7";"mg/L";20;"3,8 à 3,9";""
"133-32-4";"acide indolyl butyrique";"Log P";"-0,83";"";20;"10";""
"133-32-4";"acide indolyl butyrique";"Log P";"2,3";"";20;"4";""
"133-32-4";"acide indolyl butyrique";"Log P";"0,36";"";20;"7";""
"133-32-4";"acide indolyl butyrique";"Solubilité dans l'eau";"14.7";"g/L";20;"7";""
"133-32-4";"acide indolyl butyrique";"Solubilité dans l'eau";"95.1";"g/L";20;"10";""
"133-32-4";"acide indolyl butyrique";"Solubilité dans l'eau";"0.346";"g/L";20;"4";""
"112-05-0";"acide pelargonique";"Constante de Henry";"0.33";"Pa.m3/mol";20;"";""
"112-05-0";"acide pelargonique";"Log P";"";"";;"";""
"112-05-0";"acide pelargonique";"pka";"4,9";"";;"";""
"112-05-0";"acide pelargonique";"Pression de vapeur";"10.6";"Pa";50;"";""
"112-05-0";"acide pelargonique";"Pression de vapeur";"0.9";"Pa";20;"";""
"112-05-0";"acide pelargonique";"Pression de vapeur";"1.4";"Pa";25;"";""
"112-05-0";"acide pelargonique";"Solubilité dans l'eau";"202.7";"mg/L";20;"3,8";""
"86-87-3";"acide 1-naphthylacetique";"Constante de Henry";"3,03x10^-3";"Pa.m3/mol";20;"7";""
"86-87-3";"acide 1-naphthylacetique";"Constante de Henry";"1,26x10^-4";"Pa.m3/mol";20;"10,8";""
"86-87-3";"acide 1-naphthylacetique";"Log P";"0,32";"";;"9";""
"86-87-3";"acide 1-naphthylacetique";"Log P";"2,24";"";;"3";""
"86-87-3";"acide 1-naphthylacetique";"Log P";"-0,02";"";;"7";""
"86-87-3";"acide 1-naphthylacetique";"pka";"4,02";"";25;"";""
"86-87-3";"acide 1-naphthylacetique";"Pression de vapeur";"1,27x10^-3";"Pa";20;"";""
"86-87-3";"acide 1-naphthylacetique";"Pression de vapeur";"6,12x10^-4";"Pa";25;"";""
"86-87-3";"acide 1-naphthylacetique";"Solubilité dans l'eau";"375,7+/- 16,8";"mg/L";20;"7";""
"86-87-3";"acide 1-naphthylacetique";"Solubilité dans l'eau";"525,8+/-24,2";"mg/L";20;"9";""
"86-87-3";"acide 1-naphthylacetique";"Solubilité dans l'eau";"584,2 +/- 70,6";"mg/L";20;"4";""
"74070-46-5";"aclonifen";"Constante de Henry";"3.03 e-3";"Pa.m3/mol";20;"";""
"74070-46-5";"aclonifen";"Log P";"4,37";"";;"";""
"74070-46-5";"aclonifen";"pka";"-3,15";"";;"";""
"74070-46-5";"aclonifen";"Pression de vapeur";"1,4 10-4";"Pa";35;"";""
"74070-46-5";"aclonifen";"Pression de vapeur";"3,2 10-5";"Pa";25;"";""
"74070-46-5";"aclonifen";"Pression de vapeur";"1,6 10-5";"Pa";20;"";""
"74070-46-5";"aclonifen";"Pression de vapeur";"1,1 10-3";"Pa";50;"";""
"74070-46-5";"aclonifen";"Solubilité dans l'eau";"1,4";"mg/L";20;"5 à 9";""
"101007-06-1";"acrinathrine";"Constante de Henry";"1,08*10^-2";"Pa.m3/mol";20;"";""
"101007-06-1";"acrinathrine";"Log P";"6,3";"";;"7";""
"101007-06-1";"acrinathrine";"Log P";"6,3";"";;"9";""
"101007-06-1";"acrinathrine";"Log P";"6,3";"";;"3";""
"101007-06-1";"acrinathrine";"pka";"";"";;"";""
"101007-06-1";"acrinathrine";"Pression de vapeur";"4,4*10^-8";"Pa";20;"";""
"101007-06-1";"acrinathrine";"Solubilité dans l'eau";"0.0022";"mg/L";20;"7";""
"67375-30-8";"Alpha-cypermethrine";"Constante de Henry";"0.053";"Pa.m3/mol";20;"";""
"67375-30-8";"Alpha-cypermethrine";"Log P";"5,8";"";;"";""
"67375-30-8";"Alpha-cypermethrine";"pka";"";"";;"";""
"67375-30-8";"Alpha-cypermethrine";"Pression de vapeur";"8,5 x 10^-7";"Pa";25;"";""
"67375-30-8";"Alpha-cypermethrine";"Pression de vapeur";"3,8 x 10^-7";"Pa";20;"";""
"67375-30-8";"Alpha-cypermethrine";"Solubilité dans l'eau";"3";"µg/L";20;"6,5";""
"67375-30-8";"Alpha-cypermethrine";"Solubilité dans l'eau";"3.97";"µg/L";20;"7";""
"67375-30-8";"Alpha-cypermethrine";"Solubilité dans l'eau";"4.54";"µg/L";20;"9";""
"67375-30-8";"Alpha-cypermethrine";"Solubilité dans l'eau";"0.67";"µg/L";20;"4";""
"67375-30-8";"Alpha-cypermethrine";"Solubilité dans l'eau";"1,25";"µg/L";;"";""
"865318-97-4";"amétoctradine";"Constante de Henry";"4,13 x10^-7";"Pa.m3/mol";20;"";""
"865318-97-4";"amétoctradine";"Log P";"+4,2";"";20;"5";""
"865318-97-4";"amétoctradine";"Log P";"+4,2";"";20;"8,8";""
"865318-97-4";"amétoctradine";"Log P";"+4,4";"";20;"7,1";""
"865318-97-4";"amétoctradine";"pka";"2,78";"";;"";""
"865318-97-4";"amétoctradine";"Pression de vapeur";"2,1 x 10^-10";"Pa";20;"";""
"865318-97-4";"amétoctradine";"Solubilité dans l'eau";"0,15";"mg/L";20;"7";""
"865318-97-4";"amétoctradine";"Solubilité dans l'eau";"0,20";"mg/L";20;"8,7";""
"865318-97-4";"amétoctradine";"Solubilité dans l'eau";"0,23";"mg/L";20;"4,2";""
"865318-97-4";"amétoctradine";"Solubilité dans l'eau";"0,14";"mg/L";20;"5,7";""
"120923-37-7";"amidosulfuron";"Constante de Henry";"1,56x 10-6";"Pa.m3/mol";20;"7";""
"120923-37-7";"amidosulfuron";"Constante de Henry";"5,22x10-4";"Pa.m3/mol";20;"4";""
"120923-37-7";"amidosulfuron";"Constante de Henry";"6,76x 10-6";"Pa.m3/mol";20;"9";""
"120923-37-7";"amidosulfuron";"Log P";"1,07";"";23;"4";""
"120923-37-7";"amidosulfuron";"Log P";"-2,21";"";23;"";""
"120923-37-7";"amidosulfuron";"Log P";"-1,56";"";22;"7";""
"120923-37-7";"amidosulfuron";"pka";"3,58";"";25;"";""
"120923-37-7";"amidosulfuron";"Pression de vapeur";"0.22";"mPa";50;"";""
"120923-37-7";"amidosulfuron";"Pression de vapeur";"13";"µPa";20;"";""
"120923-37-7";"amidosulfuron";"Pression de vapeur";"22";"µPa";25;"";""
