"Numéro CAS";"Nom SA";"Nature de l'étude";"DL50/CL50";"Valeur";"Unité";"Espèce";"Sexe"
"71751-41-2";"abamectine";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"71751-41-2";"abamectine";"Toxicité aiguë cutanée";"DL50";">330";"mg/kg";"rat";"MF"
"71751-41-2";"abamectine";"Toxicité aiguë inhalation";"CL50";"0,034";"mg/L";"rat";""
"71751-41-2";"abamectine";"Toxicité aiguë VO";"DL50";"10";"mg/kg";"rat";"MF"
"71751-41-2";"abamectine";"Toxicité aiguë VO";"DL50";"14";"mg/kg";"souris";"F"
"71751-41-2";"abamectine";"Toxicité aiguë VO";"DL50";">24";"mg/kg";"singe";"MF"
"57960-19-7";"acequinocyl";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"57960-19-7";"acequinocyl";"Toxicité aiguë inhalation";"CL50";"> 0,84";"mg/L";"rat";"MF"
"57960-19-7";"acequinocyl";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"souris";"MF"
"57960-19-7";"acequinocyl";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"135410-20-7";"acetamiprid";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"135410-20-7";"acetamiprid";"Toxicité aiguë inhalation";"CL50";"> 1,15";"mg/L";"rat";"MF"
"135410-20-7";"acetamiprid";"Toxicité aiguë VO";"DL50";"417";"mg/kg";"rat";"M"
"135410-20-7";"acetamiprid";"Toxicité aiguë VO";"DL50";"314";"mg/kg";"rat";"F"
"135158-54-2";"Acibenzolar-S-methyl";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"135158-54-2";"Acibenzolar-S-methyl";"Toxicité aiguë inhalation";"CL50";"> 5";"mg/L";"rat";"MF"
"135158-54-2";"Acibenzolar-S-methyl";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"rat";"MF"
"135158-54-2";"Acibenzolar-S-methyl";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"souris";"MF"
"65-85-0";"acide benzoique";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"lapin";""
"65-85-0";"acide benzoique";"Toxicité aiguë inhalation";"CL50";"> 1,2";"mg/L";"rat";"MF"
"65-85-0";"acide benzoique";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"rat";"MF"
"77-06-05";"acide gibbérellique";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"77-06-05";"acide gibbérellique";"Toxicité aiguë inhalation";"CL50";"> 4,94";"mg/L";"rat";"MF"
"77-06-05";"acide gibbérellique";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
