(produit) type produit;(produit) numero AMM;(produit) nom produit;(produit) seconds noms commerciaux;(produit) titulaire;(produit) type commercial;(produit) gamme usage;(produit) mentions autorisees;(produit) restrictions usage;(produit) restrictions usage libelle;(produit) Substances actives;(produit) fonctions;(produit) formulations;(produit) Etat d’autorisation;(produit) Date de retrait du produit;(produit) Date de première autorisation;(produit) Numéro AMM du produit de référence;(produit) Nom du produit de référence;
PPP;8800006;DIMATE BF 400;DANADIM PROGRESS | DANADIM SUPER | ROGOR PLUS;CHEMINOVA AGRO FRANCE SAS;Produit de référence;Professionnel;;;;diméthoate (Dimethoate) 400.0 g/L | diméthoate (Dimethoate) 400.0 g/L;Insecticide;Concentré émulsionnable;RETIRE;01/02/2016;01/02/1988;;;
PPP;2190207;KALTOR;KINKEL | KINGSLEY;ROTAM AGROCHEMICAL EUROPE LIMITED;Produit de référence;Professionnel;;;;nicosulfuron (Nicosulfuron) 150.0 g/kg | dicamba (Dicamba) 600.0 g/kg;Herbicide;Granulé soluble dans l'eau;AUTORISE;;10/04/2019;;;
PPP;2171049;MENNO FLORADES;;MENNO Chemie-Vertrieb GmbH;Produit de référence;Professionnel;;;;acide benzoïque (Benzoic acid) 90.0 g/L;Désinfection locaux, structures, matériels;Concentré soluble;AUTORISE;;29/11/2017;;;
PPP;8900156;NEMASOL 510;TRIMATON EXTRA;TAMINCO BV;Produit de référence;Professionnel;;;;métam-sodium (Metam) 510.0 g/L;Nématicide | Fongicide;Concentré soluble;RETIRE;21/11/2018;01/04/1989;;;
PPP;7700385;FUMIGAM;;LAINCO S.A.;Produit de référence;Professionnel;;;;métam-sodium (Metam) 510.0 g/L;Fongicide;Concentré soluble;RETIRE;21/11/2018;01/12/1977;;;
PPP;9200119;MONAM H+J;;COMPO EXPERT France;Produit de revente;Professionnel;;;;métam-sodium (Metam) 510.0 g/L;Nématicide;Concentré soluble;RETIRE;20/12/2018;;;;
PPP;2170782;DIPHAR;;ARYSTA LIFESCIENCE BENELUX SPRL;Produit de référence;Professionnel;;;;dicamba (Dicamba) 480.0 g/L;Herbicide;Concentré soluble;AUTORISE;;03/10/2017;;;
PPP;8800603;COLZAMID;DEVRINOL 450 SC;UPL EUROPE LTD;Produit de référence;Professionnel;;;;napropamide (Napropamide) 450.0 g/L;Herbicide;Suspension concentrée;AUTORISE;;01/06/1991;;;
PPP;2070133;DEVRINOL F;;UPL EUROPE LTD;Produit de référence;Professionnel;;;;napropamide (Napropamide) 450.0 g/L;Herbicide;Suspension concentrée;AUTORISE;;03/03/2011;;;
PPP;9000834;REBELL T;;BASF FRANCE SAS;Produit de référence;Professionnel;;;;chloridazone (Chloridazon) 360.0 g/L | quinmérac (Quinmerac) 60.0 g/L;Herbicide;Suspension concentrée;RETIRE;06/12/2017;;;;
PPP;2170337;BELPROMEC GOLD;;PROBELTE S.A.;Produit de référence;Professionnel;;;;abamectine (Abamectin) 18.0 g/L;Insecticide | Acaricide;Emulsion de type aqueux;AUTORISE;;12/06/2017;;;
PPP;9900133;MILORD;MILFAST;BAYER SAS;Produit de référence;Professionnel;;;;spiroxamine (Spiroxamine) 400.0 g/L | tébuconazole (Tebuconazole) 100.0 g/L;Fongicide;Concentré émulsionnable;RETIRE;05/02/2019;06/04/2001;;;
PPP;8100291;BUTISAN S;BALLET;BASF FRANCE SAS;Produit de référence;Professionnel;;;;métazachlore (Metazachlor) 500.0 g/L;Herbicide;Suspension concentrée;AUTORISE;;;;;
PPP;2000003;SULTAN;ESTRAN SC | BROTHER 500;ADAMA FRANCE SAS;Produit de référence;Professionnel;;;;métazachlore (Metazachlor) 500.0 g/L;Herbicide;Suspension concentrée;AUTORISE;;30/01/2003;;;
PPP;9500645;SICO;;SYNGENTA FRANCE SAS;Produit de référence;Professionnel;;;;difénoconazole (Difenoconazole) 250.0 g/L;Fongicide;Concentré émulsionnable;AUTORISE;;04/06/1998;;;
PPP;2180347;APPLAUD STAR;;Nichino Europe Co., Ltd;Produit de référence;Professionnel;;;;buprofézine (Buprofezin) 250.0 g/L;Insecticide;Suspension concentrée;AUTORISE;;03/10/2018;;;
PPP;9500484;DESHERBANT GAZON 50;;PHYTEUROP;Deuxième gamme;Professionnel;Emploi autorisé dans les jardins;;;dicamba sel de sodium et de potassium (Dicamba) 15.0 g/L | MCPA sels de sodium et de potassium (MCPA) 180.0 g/L;Herbicide;Concentré soluble;RETIRE;29/06/2015;01/10/1995;9500485;SUPERBIX 50;
PPP;8700542;SYGAN S;;DUPONT SOLUTIONS (FRANCE) S.A.S.;Produit de référence;Professionnel;;;;cymoxanil (Cymoxanil) 48.0 g/L | Folpet (Folpet) 480.0 g/L;Fongicide;Suspension concentrée;RETIRE;25/10/2016;;;;
PPP;2090024;DIODE;;ADAMA FRANCE SAS;Générique;Professionnel;;;;sulcotrione (Sulcotrione) 300.0 g/L;Herbicide;Suspension concentrée;RETIRE;12/04/2017;31/07/2009;9100297;MIKADO;
PPP;2100195;STROBIPLUS 250 SC;;ADVANCED AGRICULTURAL TECHNOLOGIES INC;Générique;Professionnel;;;;azoxystrobine (Azoxystrobin) 250.0 g/L;Fongicide;Suspension concentrée;RETIRE;30/10/2015;15/10/2010;9600093;AMISTAR;
PPP;9500088;XOKKO GAZON STAR;;COMPO FRANCE SAS;Produit de référence;;;;;bromoxynil octanoate (Bromoxynil) 120.0 g/L | dicamba acide (Dicamba) 24.0 g/L | mécoprop ester de butoxyéthanol (Mecoprop) 360.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;16/06/2015;01/02/1995;;;
PPP;9500404;BHJ FONGICIDE SYSTEMIQUE;;COMPO FRANCE SAS;Produit de revente;;Emploi autorisé dans les jardins;;;fosétyl (Fosetyl) 80.0 %;;Poudre mouillable;RETIRE;16/06/2015;01/10/1995;7700682;ALIETTE;
PPP;9900098;PELOUS NET PLUS;;Evergreen Garden Care France SAS;Deuxième gamme;;Emploi autorisé dans les jardins;;;dicamba sel de diméthylamine (Dicamba) 24.0 g/L | mécoprop-P (Mecoprop-P) 200.0 g/L | MCPA sel d'amine (MCPA) 100.0 g/L;Herbicide;Concentré soluble;RETIRE;16/06/2015;01/04/1999;9000662;UMUPRO DESHERBANT GAZON TX;
PPP;9900093;HERBATAK PLUS;;Evergreen Garden Care France SAS;Produit de revente;;Emploi autorisé dans les jardins;;;diflufénicanil (Diflufenican) 40.0 g/L | glyphosate sel d'isopropylamine (Glyphosate) 250.0 g/L;Herbicide;Suspension concentrée;RETIRE;16/06/2015;01/04/1999;9600550;PISTOL EV;
PPP;2050090;DESOGERME BACTISEM LIQUIDE;;LABORATOIRES A.C.I.;Produit de référence;Professionnel;;;;hypochlorite sous forme de sel de sodium (Sodium hypochlorite) 13.0 %;Virucide | Bactéricide | Fongicide;Liquide;RETIRE;07/12/2015;14/10/2005;;;
PPP;9700356;HERBONEX DF LIQUIDE;;Evergreen Garden Care France SAS;Produit de revente;;Emploi autorisé dans les jardins;;;diflufénicanil (Diflufenican) 40.0 g/L | glyphosate sel d'isopropylamine (Glyphosate) 250.0 g/L;Herbicide;Suspension concentrée;RETIRE;16/06/2015;01/04/1999;9600550;PISTOL EV;
PPP;9800215;ALIETTE EXPRESS J;;Evergreen Garden Care France SAS;Produit de revente;;Emploi autorisé dans les jardins;;;fosétyl (Fosetyl) 80.0 %;;Granulé dispersable;RETIRE;16/06/2015;04/06/1998;9000258;ALIETTE EXPRESS;
PPP;9700409;TERSOL GRINET;;PFC SNC;Produit de revente;;Emploi autorisé dans les jardins;;;2,4-D sel d'amine (2,4-D) 100.0 g/L | mécoprop sel d'amine (Mecoprop) 400.0 g/L;Herbicide;Liquide;RETIRE;16/06/2015;01/10/1997;8400448;HERBOXAN;
PPP;9500140;ANTIDEPERISSEMENT ET MALADIES CLAUSE JARDIN;;OXADIS;Produit de revente;;Emploi autorisé dans les jardins;;;fosétyl (Fosetyl) 80.0 %;Fongicide;Poudre mouillable;RETIRE;16/06/2015;01/06/1995;7700682;ALIETTE;
PPP;9800238;DESHERBANT ALLEES LIQUIDE OXA;;OXADIS;Produit de revente;;Emploi autorisé dans les jardins;;;dichlorprop-P (Dichlorprop-P) 54.0 g/L | glyphosate sel d'isopropylamine (Glyphosate) 72.0 g/L | MCPA (MCPA) 54.0 g/L;Herbicide;Concentré soluble;RETIRE;16/06/2015;04/06/1998;9500572;PAVAPROP-G;
PPP;9700344;ALUDOR;;AGRIPHAR SA;Produit de revente;;;;;chlorpyriphos-éthyl (Chlorpyrifos) 200.0 g/L | cyperméthrine (Cypermethrin) 20.0 g/L;Insecticide;Concentré émulsionnable;RETIRE;16/06/2015;01/10/1997;9500290;CYPERFOS;
PPP;2020306;AGI GAZON EV;;AGRIPHAR SA;Deuxième gamme;;;;;dicamba sel de diméthylamine (Dicamba) 18.0 g/L | mécoprop sel de diméthylamine (Mecoprop) 250.0 g/L | MCPA sel de diméthylamine (MCPA) 250.0 g/L;Herbicide;Liquide;RETIRE;16/06/2015;11/10/2002;7500401;DIPTYL;
PPP;7800427;BETRANIX EL;;PHYTEUROP;Produit de référence;;;;;chloridazone (Chloridazon) 400.0 g/L;Herbicide;Liquide;RETIRE;16/06/2015;01/12/1978;;;
PPP;7000022;CEPEDIC MP;;PHYTEUROP;Produit de référence;;;;;dicamba sel de potassium (Dicamba) 27.5 g/L | mécoprop sel de potassium (Mecoprop) 425.0 g/L;;Liquide;RETIRE;16/06/2015;01/12/1970;;;
PPP;9700558;CYBELE;;PHYTEUROP;Produit de revente;;;;;éthéphon (Ethephon) 480.0 g/L;Subst. Croiss.;Suspension aqueuse;RETIRE;16/06/2015;01/12/1997;8800028;CERONE;
PPP;8200389;AZOTER GAZON DESHERBANT;;SOCIETE DES PRODUITS DE FRANCE;Produit de référence;;;;;2,4-D sel de diméthylamine (2,4-D) 0.7 % | dicamba sel de diméthylamine (Dicamba) 0.1 %;;Granulé;RETIRE;16/06/2015;01/12/1982;;;
PPP;7400677;ETHREL CONCENTRE SPECIAL ANANAS;;BAYER SAS;Produit de référence;;;;;éthéphon (Ethephon) 480.0 g/L;Subst. Croiss.;Concentré soluble;RETIRE;16/06/2015;01/12/1975;;;
PPP;9000266;K-OBIOL PM 25;;BAYER SAS;Produit de revente;;;;;deltaméthrine (Deltamethrin) 2.5 %;Insecticide;Poudre mouillable;RETIRE;16/06/2015;01/04/1990;;;
PPP;9900203;HUSSAR OF;;BAYER SAS;Produit de référence;;;;;fénoxaprop-P-éthyle (Fenoxaprop-P) 64.0 g/L | iodosulfuron-méthyl-sodium (Iodosulfuron) 8.0 g/L;Herbicide;Suspension conc. diluable ds liquide organique;RETIRE;16/06/2015;08/06/2001;;;
PPP;9600321;DIEZE;;BAYER SAS;Produit de référence;;;;;bromoxynil octanoate (Bromoxynil) 140.0 g/L | diflufénicanil (Diflufenican) 12.0 g/L | mécoprop-P (Mecoprop-P) 240.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;16/06/2015;01/10/1998;;;
PPP;2040079;DESHERBANT ALLEES MASSO;;COMERCIAL QUIMICA MASSO SA;Produit de revente;;Emploi autorisé dans les jardins;;;dichlorprop-P (Dichlorprop-P) 54.0 g/L | glyphosate sel d'isopropylamine (Glyphosate) 72.0 g/L | MCPA (MCPA) 54.0 g/L;Herbicide;Concentré soluble;RETIRE;19/06/2015;06/02/2004;2010319;PAVAPROP NG;
PPP;2110067;AAT GLY360;;ADVANCED AGRICULTURAL TECHNOLOGIES INC;Générique;Professionnel;;;;glyphosate sel d'isopropylamine (Glyphosate) 360.0 g/L;Herbicide;Liquide;RETIRE;30/10/2015;15/04/2011;7400057;ROUNDUP;
PPP;8900275;CRESUS.;;BAYER SAS;Produit de référence;;;;;chlorpyriphos-méthyl (Chlorpyrifos-methyl) 400.0 g/L | deltaméthrine (Deltamethrin) 15.0 g/L;;Concentré émulsionnable;RETIRE;16/06/2015;01/02/1990;;;
